Title	RTIA	RTPP	MZ_IA	MZ_PP	IA_113	IA_114	IA_115	IA_116	IA_117	IA_118	IA_119	IA_121	PP_113	PP_114	PP_115	PP_116	PP_117	PP_118	PP_119	PP_121	decoy	PP_114:113	PP_115:113	PP_116:113	PP_117:113	PP_118:113	PP_119:113	PP_121:113	IA_114:113	IA_115:113	IA_116:113	IA_117:113	IA_118:113	IA_119:113	IA_121:113
e_5944028924268473888	2.58	2.58	482.8071289	482.8083	51.5002	0	0	282.886	87.7527	89.6066	44.8207	2.24E-08	51.85	0	0	1.84	96.87	89.62	44.82	6.6	0	0	0	0	0	0	0	0	0.01	0.01	5.492910707	1.703929305	1.739927224	0.870301475	4.35E-10
e_9338123977917905750	4.51	4.51	679.0134277	679.0145	111.486	88.2752	90.632	40.359	161.185	114.619	71.9885	65.147	111.51	88.27	90.61	9.54	160.98	114.85	71.99	8.34	1	0	0	0	0	0	0	0	0.791805249	0.812945123	0.36200958	1.445786915	1.028102183	0.645717848	0.584351398
e_280013477040306431	7.84	7.84	409.591095	409.5923	0	0	0	258.526	0	55.0734	0	0	0	0	0	7.88	0	56.29	0	1.15	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0
e_8522783763372617925	11.62	11.62	968.7185059	968.7194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e_13405197392141228756	12.46	12.46	675.7437744	675.7449	43.8515	0	47.4814	0	0	0	63.9999	0.000699757	44.22	0	48.03	6.67	0	0	64.37	7.74	0		1.08616				1.455676		0.01	1.0827771	0.01	0.01	0.01	1.459468889	1.60E-05
e_8785010513342333151	13.34	13.34	489.9510193	489.9522	0	62.4262	46.141	76.8525	39.6065	46.0362	64.2808	3.31E-13	0	62.48	46.14	6.99	39.56	46.1	64.26	7.8	0								100	100	100	100	100	100	100
e_13809149563299938116	14.23	14.23	437.6103516	437.6116	0	74.7948	0	128.082	0	0	0	0	0	75.58	0	8.7	0	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0
e_10103980068035890694	17.64	17.64	1018.012146	1018.013	0	0	0	0	0	0	0	0									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e_3807156736788089936	22.11	22.11	847.9290161	847.93	0	59.1524	0	0	0	0	0	0	0	59.52	0	3.77	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0
e_7389705165429696502	24.04	24.04	384.5801392	384.5814	49.6788	63.7272	0	207.376	0	0	0	0	49.66	64.6	0	10.54	0	40.61	0	0.83	1	0	0	0	0	0	0	0	1.282784608	0.01	4.174335934	0.01	0.01	0.01	0.01
e_3838781822606239866	25.93	25.93	1018.017395	1018.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e_11260490535819793595	32.14	32.14	639.0527344	639.0538	0	0	108.077	0	72.315	68.4781	0	97.5965	0	0	108.98	10.06	72.94	68.7	0	1.63	1	0	0	0	0	0	0	0	0	100	0	100	100	0	100
e_12168048795702017370	38.17	38.17	395.5776062	395.5789	0	55.5802	0	335.503	0	0	0	0	37.07	53.98	0	13.71	26.19	0	0	0	0	0	0	0	0	0	0	0	100	0	100	0	0	0	0
e_14382550841206798999	57.25	57.25	400.2512207	400.2524	0	0	0	204.999	0	0	0	0	0	0	0	6.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0
e_7365506140212983396	59.14	59.14	319.1862793	319.1876	0	0	72.1728	293.946	22.3334	0	0	55.6375	0	40.12	69.66	8.69	20.25	41.41	0	1.01	0	0	0	0	0	0	0	0	0	100	100	100	0	0	100
e_4183321597753051149	65.84	65.84	848.178894	848.1799	0	0	0	0	52.6565	0	0	0	0	0	0	0	52.91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0
e_14813537822224049914	68.24	68.24	679.0135498	679.0146	87.0381	77.0819	0	56.044	92.9697	65.0979	0	71.5519	87.04	77.66	0	6.92	92.83	65.35	0	1.5	1	0	0	0	0	0	0	0	0.885611014	0.01	0.643901923	1.068149466	0.747924185	0.01	0.82207562
e_12463494363701011375	70.15	70.15	639.0565186	639.0576	0	0	60.1452	50.3871	0	0	0	81.2694	0	0	60.24	7.58	0	0	0	0.21	0	0	0	0	0	0	0	0	0	100	100	0	0	0	100
e_18223760079974187340	72.55	72.55	968.7227173	968.7236	41.7332	54.8385	0	0	0	0	0	48.8123	41.73	55.14	0	3.6	0	0	0	0	1	0	0	0	0	0	0	0	1.314025764	0.01	0.01	0.01	0.01	0.01	1.169627539
